City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
350,Lashio,MM,66.27,scattered clouds,22.9333,97.75,Hotel CF Lashio - Burmese Only
353,Santa Rosa,PH,87.1,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
354,Ondjiva,AO,75.7,broken clouds,-17.0667,15.7333,COMBUESA
355,Khudumelapye,BW,72.1,broken clouds,-23.8833,24.75,
356,Cururupu,BR,74.86,clear sky,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
357,Sabya,SA,80.92,clear sky,17.1495,42.6254,Aseel Hotel Apartment
362,Mattru,SL,73.22,broken clouds,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
364,Pandan,PH,81.19,overcast clouds,14.0453,124.1694,Bonifacio Lodge
370,Laa,SL,67.28,overcast clouds,8.0797,-10.7732,
379,Hirado,JP,67.39,clear sky,33.3597,129.5531,Samson Hotel
381,Bafra,TR,66.81,overcast clouds,41.5678,35.9069,Sevgi Otel
382,Nouadhibou,MR,72.23,clear sky,20.931,-17.0347,El Medina
384,Ayer Molek,MY,82.04,light rain,2.2033,102.3171,OYO 437 Hotel Suria Malaqa
386,Port Pirie,AU,73.11,light rain,-33.1833,138.0167,John Pirie Motor Inn
387,Canico,PT,68.72,light rain,32.6333,-16.85,Quinta Splendida Wellness & Botanical Garden
390,Wahiawa,US,79.12,scattered clouds,21.5028,-158.0236,The Inn At Schofield
392,The Valley,AI,81.1,clear sky,18.217,-63.0578,CeBlue Villas & Beach Resort
394,Palembang,ID,82.49,few clouds,-2.9167,104.7458,ASTON Palembang Hotel & Conference Center
398,Morondava,MG,76.77,clear sky,-20.2833,44.2833,La Case Bambou
400,Adrar,MR,67.42,clear sky,20.5022,-10.0711,
406,Beloha,MG,66.9,clear sky,-25.1667,45.05,
413,Kieta,PG,83.05,light rain,-6.2167,155.6333,Uruna Bay Retreat
421,Auki,SB,82.29,overcast clouds,-8.7676,160.7034,Auki Motel
424,Balabac,PH,80.87,light rain,7.9868,117.0645,Batalla’s Lodging House
425,Quang Ngai,VN,81.88,scattered clouds,15.1167,108.8,Central Hotel
426,Sarangani,PH,82.2,overcast clouds,5.4033,125.4636,JVL Inn and Cafeteria
428,Kollam,IN,77.23,overcast clouds,8.8833,76.6,The Raviz Ashtamudi
432,Abu Zabad,SD,65.41,clear sky,12.35,29.25,حامد محمد نور
433,Carutapera,BR,76.55,clear sky,-1.195,-46.02,Lidera
438,San Carlos,VE,73.06,overcast clouds,9.6612,-68.5827,Hotel Paternopoli
439,Ballitoville,ZA,70.16,light rain,-29.539,31.2144,Hampshire Hotel-Ballito
446,Trairi,BR,79.47,broken clouds,-3.2778,-39.2689,janelas do mar
449,Masvingo,ZW,67.62,few clouds,-20.0637,30.8277,River Side Lodge
450,Port Keats,AU,89.01,scattered clouds,-14.25,129.55,Kardu Durrikardu Numida Hostel
451,Alyangula,AU,89.35,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
457,Louis Trichardt,ZA,70.03,clear sky,-23.0439,29.9032,139 on Munnik Guest House
460,Panguna,PG,78.44,light rain,-6.3164,155.4848,
461,Moranbah,AU,87.46,broken clouds,-22.0016,148.0466,Property Vine - Monterey Moranbah
462,Ranot,TH,78.57,overcast clouds,7.7777,100.3213,Pakbanglake resort ปากบางเลค รีสอร์ท
463,Salinopolis,BR,79.09,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
464,Guarapari,BR,72.9,overcast clouds,-20.6667,-40.4975,Hotel Porto do Sol
466,Sola,VU,82.38,clear sky,-13.8833,167.55,Leumerus Bungalows
469,Byron Bay,AU,74.71,clear sky,-28.65,153.6167,Backpackers Inn
482,Bonthe,SL,77.86,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
484,Tuy Hoa,VN,79.57,overcast clouds,13.0833,109.3,Hotel Sài Gòn-Phú Yên
485,Biltine,TD,69.4,clear sky,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
486,Les Cayes,HT,77.04,scattered clouds,18.2,-73.75,Villa Orphee
487,Neuquen,AR,76.89,scattered clouds,-38.9516,-68.0591,Hotel del Comahue
489,Miranda,CO,67.64,light rain,3.2499,-76.2281,unidiversidad organica la utopia
491,Port Hedland,AU,84.25,clear sky,-20.3167,118.5667,The Esplanade Hotel
498,Padang,ID,80.65,overcast clouds,-0.9492,100.3543,Mercure Padang
500,Anloga,GH,80.65,broken clouds,5.7947,0.8973,Pin Drop Hotel
501,Lalmohan,BD,72.43,clear sky,22.3384,90.7419,Arifur Rahman Miraj
504,Saint-Georges,GD,80.28,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
505,Poum,NC,78.44,clear sky,-20.2333,164.0167,
506,Altamira,BR,80.02,scattered clouds,-3.2033,-52.2064,Requinte Hotel
507,Nador,MA,66.45,clear sky,35.174,-2.9287,Hôtel La Giralda
508,Cabedelo,BR,76.87,few clouds,-6.9811,-34.8339,Pousada Camboinha
512,Irpa Irpa,BO,71.6,few clouds,-17.7167,-66.2667,Alojamiento Sumaj
514,Palm Beach,US,71.58,clear sky,26.6503,-80.4498,
515,Bandarbeyla,SO,76.33,clear sky,9.4942,50.8122,JABIR HOTEL
516,Paulo Afonso,BR,76.96,few clouds,-9.4061,-38.2147,Pousada Ilha Bela
517,Surt,LY,69.17,clear sky,31.2089,16.5887,فندق المدينة
520,Jamui,IN,65.19,clear sky,24.9167,86.2167,hotel sneha
523,Kuala Pilah,MY,81.91,overcast clouds,2.7389,102.2487,OYO 992 Orange Hotel Kuala Pilah
524,Ahipara,NZ,67.37,clear sky,-35.1667,173.1667,Ahipara Holiday Park
525,Saint-Joseph,RE,66.58,few clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
526,Ati,TD,73.27,clear sky,13.2154,18.3353,
535,Pangoa,PE,70.5,broken clouds,-12.1167,-73.0,
536,Phan Thiet,VN,84.33,overcast clouds,10.9333,108.1,Hotel Saigon-PT
538,Mareeba,AU,92.44,broken clouds,-17.0,145.4333,Trinity Plains Tourist Park
540,Natal,BR,77.32,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
544,Bambanglipuro,ID,81.75,overcast clouds,-7.95,110.2833,Puri Brata
545,Pathein,MM,77.23,overcast clouds,16.7833,94.7333,Pathein Hotel
546,Riberalta,BO,79.61,overcast clouds,-10.9833,-66.1,Hotel Colonial
548,Mogadishu,SO,78.89,clear sky,2.0371,45.3438,Hotel Juba
549,Sile,TR,65.07,overcast clouds,41.1754,29.6133,Phellos Suites
550,Cabo San Lucas,MX,72.18,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
551,Namuac,PH,83.17,overcast clouds,18.6109,121.1657,Mlin Hotel
552,Wanning,CN,80.69,clear sky,18.8003,110.3967,Paradise Hotel
553,Igede,NG,70.79,overcast clouds,10.0544,5.9416,
554,Boyolangu,ID,78.87,overcast clouds,-8.1181,111.8935,Yos ega cv
555,Pathanamthitta,IN,75.72,overcast clouds,9.2667,76.7833,Riya - The Travel Expert | Pathanamthitta
556,Pochutla,MX,77.83,broken clouds,15.7432,-96.4661,Hotel Posada San Jose
562,Majene,ID,82.85,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
564,Santa Vitoria,BR,76.24,clear sky,-18.8386,-50.1214,Center Hotel
565,El Seibo,DO,74.73,few clouds,18.7641,-69.0375,Defensa Civil del Seibo
