City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
272,Fairbanks,US,64.8378,-147.7164,15.6,85,0,3.44,clear sky
273,Aykhal,RU,66.0,111.5,-29.18,100,53,5.86,broken clouds
274,Oranjestad,AW,12.524,-70.027,79.92,94,40,10.36,scattered clouds
275,Del Rio,US,29.3627,-100.8968,51.91,41,0,8.05,clear sky
276,Vao,NC,-22.6667,167.4833,75.52,79,66,11.68,broken clouds
277,Nome,US,64.5011,-165.4064,35.67,93,100,13.8,light rain
278,Ravar,IR,31.2656,56.8055,60.66,51,95,5.03,overcast clouds
279,Buala,SB,-8.145,159.5921,83.84,73,75,3.89,light rain
280,Mirnyy,RU,62.5353,113.9611,-17.77,75,46,7.0,scattered clouds
281,Bondo,CD,3.8146,23.6866,68.14,91,90,1.86,overcast clouds
282,Dunedin,NZ,-45.8742,170.5036,59.81,72,91,1.01,overcast clouds
283,Tazmalt,DZ,36.3868,4.3989,59.09,84,0,4.88,clear sky
284,Kysyl-Syr,RU,63.8986,122.7617,-2.72,94,100,7.02,overcast clouds
285,Zeya,RU,53.75,127.2667,19.78,79,22,2.26,few clouds
286,Benicarlo,ES,40.4165,0.4271,60.57,59,15,17.36,few clouds
287,Severo-Kurilsk,RU,50.6789,156.125,35.02,68,100,15.52,overcast clouds
288,Codrington,AU,-38.2667,141.9667,66.27,59,10,9.98,clear sky
289,Baykit,RU,61.67,96.37,-19.84,99,97,2.08,overcast clouds
290,Bambous Virieux,MU,-20.3428,57.7575,69.22,88,20,6.91,few clouds
291,Salinas,US,36.6777,-121.6555,59.81,60,0,5.75,clear sky
292,Abrau-Dyurso,RU,44.69,37.59,58.46,87,98,25.68,light rain
293,Shuyskoye,RU,59.3736,41.0305,16.81,80,6,9.48,clear sky
294,Sobolevo,RU,54.4299,31.8996,21.87,82,84,10.87,broken clouds
295,Kambove,CD,-10.8764,26.5969,60.42,92,10,2.33,clear sky
296,Sistranda,NO,63.7256,8.834,40.96,45,100,28.59,overcast clouds
297,Ilhabela,BR,-23.7781,-45.3581,69.76,77,35,4.18,scattered clouds
298,Tura,IN,25.5198,90.2201,67.26,76,3,3.94,clear sky
299,Bereda,ES,43.2686,-7.5406,47.41,100,80,2.24,light rain
300,Algiers,DZ,36.7525,3.042,67.82,64,20,8.05,few clouds
301,Ormara,PK,25.2088,64.6357,77.11,61,6,8.46,clear sky
302,Muisne,EC,0.6,-80.0333,73.76,82,99,8.52,overcast clouds
303,Haapiti,PF,-17.5667,-149.8667,82.13,81,84,7.92,broken clouds
304,Novobiryusinskiy,RU,56.9578,97.7076,10.89,84,98,6.96,overcast clouds
305,Hohhot,CN,40.8106,111.6522,43.02,48,100,8.16,overcast clouds
306,Beyneu,KZ,45.3167,55.2,39.22,76,45,13.85,scattered clouds
307,Cidreira,BR,-30.1811,-50.2056,66.72,83,19,8.52,few clouds
308,Marawi,PH,7.9986,124.2928,73.13,89,100,3.36,overcast clouds
309,Grand-Santi,GF,4.25,-54.3833,75.78,82,98,2.66,overcast clouds
310,Mnogovershinnyy,RU,53.9353,139.9242,18.43,76,100,3.94,overcast clouds
